,tweet_id,created_at,user,location,text
0,'1334328760099889157,12/3/2020 2:49,Koutchboom,USA,Its nice to know democrats got better at rigging elections since 2016. EVEN OLE EAGLE EYES dj trump couldn't catch'… https://t.co/YMLyCfyfeY
1,'1334328694698020865,12/3/2020 2:48,MischellUtter,USA,"@AdamInHTownTX @justinbaragona There will be human errors in elections, there will be fraud, and when the vote coun… https://t.co/BL22tkNc5X"
2,'1334328653958754304,12/3/2020 2:48,TylerHauf1,USA,@J_Mei21 Democrats are doing the same cannibalistic crap today with Obama after he dared to say that messaging matt… https://t.co/R1F7HMtTYn
3,'1334328651626606597,12/3/2020 2:48,leftcoastbabe,Unknown,"Can we call them ""The Gang who couldn't Sue Straight?""

Trump’s new Wisconsin election lawsuit targets state offici… https://t.co/uGOliuktHV"
4,'1334328646832709632,12/3/2020 2:48,Democratsoppre1,Unknown,"@JamesOKeefeIII @CNN @cynthiacnn If you voted for Trump. And people fell into it. And now, it’s already in progress… https://t.co/TCDhY7rSde"
5,'1334328638821474309,12/3/2020 2:48,thejoshuablog,USA,Via @RawStory: Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections… https://t.co/mSnlkeYvPg
6,'1334328638356000768,12/3/2020 2:48,Libertea2012,USA,Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections https://t.co/UcNiScAvsl
7,'1334328637286309888,12/3/2020 2:48,rogue_corq,Other,Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections https://t.co/H3sA0Qzy4F
8,'1334328607196372992,12/3/2020 2:48,joseseb86647200,Unknown,@realDonaldTrump MR.PRESIDENT LET THE MILITARY TRIBUNALS TAKE OVER +MARTIAL LAW AND NEW ELECTIONS
9,'1334328603534786560,12/3/2020 2:48,VikkiMarshall4,USA,"In Video, Trump Unspools Unsubstantiated Voter Fraud Charges https://t.co/eNNHxA6jKW Trump is a lunatic. He needs t… https://t.co/hpfUkwcp8b"
10,'1334328597234896897,12/3/2020 2:48,WayoutwesS,USA,"@realDonaldTrump Thank you ma’am for speaking out on what is right according to our laws, either way, I want our elections fair and legal"
11,'1334328592440860672,12/3/2020 2:48,TotlisVann,Unknown,"@PaulTho13724590 Paul I appreciate your right to your opinion, but you made a huge assumption about me, that I hope… https://t.co/cCE0n6JPJd"
12,'1334328590196908033,12/3/2020 2:48,TheQuint,Unknown,"#Video | At a time when the world is saying ‘Go #Corona Go!,’ some people in #Kerala’s Kollam are chanting ‘Jai Cor… https://t.co/AmiZTkbWog"
13,'1334328582517219328,12/3/2020 2:48,bradheath,USA,"Michigan's lawmakers said they want to make sure the public can be confident in our elections, so they're hearing f… https://t.co/6FNfUpWKQw"
14,'1334328574149615623,12/3/2020 2:48,masonisnt,USA,@FelisRufus35 @shirhal @ACLU @johnpavlovitz @WhiteHouse https://t.co/j64lJrJrYb barr says otherwise.
15,'1334328573113507841,12/3/2020 2:48,markapker,USA,@AprilDRyan Misleading and polls badly. We need to win more elections and less in the court of public opinion. Ditch it.
16,'1334328573105111042,12/3/2020 2:48,SiddHunt,Unknown,"@MnshaP 
Hi Manisha , I watch all your reporting
""Big fan"" , I am from AP news channel here cannot report anything… https://t.co/Ns23RCi9Hb"
17,'1334328560593473536,12/3/2020 2:48,vimallakhotia,USA,"@MahuaMoitra In logo ko koi Pharak Nahee Padne Vaala !
The Owner of this Manipulated Video has been made Co-Incharg… https://t.co/itk91f0vIV"
18,'1334328551391170560,12/3/2020 2:48,VThnhChng2,Unknown,"@chadabizeid If American elections persist in lies, then democracy-freedom is just a game of the powerful &amp; peace is mankind's ambiguity 😭"
19,'1334328528662384641,12/3/2020 2:48,woedenaz,Unknown,"@Er17Q @JoeBiden @RonaldKlain @realDonaldTrump @RudyGiuliani @SupremecourtUs Oh I see.

Well, I sure hope these all… https://t.co/SwbICcdGc9"
20,'1334328524082204673,12/3/2020 2:48,IllinoisCSS,USA,Educator teaches partisan students about elections https://t.co/GHV6deeETg
21,'1334328517547479040,12/3/2020 2:48,JusticeHobo,Unknown,@BrianTh37895972 @DrKarlynB Done with GOP.. Elections can be stolen and GOP wants Trump gone.
22,'1334328514573721601,12/3/2020 2:48,RobertO91158189,Unknown,"Remember this oldie but goodie?  Well, he lost to the ""worst candidate in the history of politics."" Retweet if you… https://t.co/uVFSSIy0rU"
